image_id,split,image_filename,condition_scenario,camera_angle,lighting,distance,expected_classes,annotation_status,source_type,diagnostic_status
goat_0001,train,goat_0001.jpg,skin_lesion,front,outdoor,close,goat|skin_lesion,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0002,train,goat_0002.jpg,healthy,front,good,far,goat,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0003,train,goat_0003.jpg,eye_discharge,front,good,close,goat|eye_discharge,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0004,train,goat_0004.jpg,healthy,front,indoor,far,goat,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0005,train,goat_0005.jpg,skin_lesion,rear,indoor,medium,goat|skin_lesion,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0006,train,goat_0006.jpg,nasal_discharge,front,indoor,far,goat|nasal_discharge,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0007,train,goat_0007.jpg,eye_discharge,side_right,indoor,close,goat|eye_discharge,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0008,train,goat_0008.jpg,multiple_visible_signs,side_right,good,close,goat|abnormal_posture|eye_discharge,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0009,train,goat_0009.jpg,healthy,side_right,outdoor,close,goat,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0010,train,goat_0010.jpg,skin_lesion,front,low_light,close,goat|skin_lesion,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0011,train,goat_0011.jpg,nasal_discharge,side_right,indoor,far,goat|nasal_discharge,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0012,train,goat_0012.jpg,healthy,side_left,outdoor,close,goat,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0013,train,goat_0013.jpg,possible_lameness,front,low_light,medium,goat|possible_lameness,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0014,train,goat_0014.jpg,eye_discharge,side_right,indoor,medium,goat|eye_discharge,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0015,train,goat_0015.jpg,healthy,side_right,good,far,goat,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0016,train,goat_0016.jpg,skin_lesion,side_left,indoor,medium,goat|skin_lesion,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0017,train,goat_0017.jpg,healthy,side_left,outdoor,close,goat,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0018,train,goat_0018.jpg,healthy,front,outdoor,medium,goat,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0019,train,goat_0019.jpg,healthy,side_left,outdoor,close,goat,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0020,train,goat_0020.jpg,skin_lesion,rear,low_light,close,goat|skin_lesion,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0021,train,goat_0021.jpg,healthy,side_left,outdoor,far,goat,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0022,train,goat_0022.jpg,nasal_discharge,rear,outdoor,close,goat|nasal_discharge,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0023,train,goat_0023.jpg,multiple_visible_signs,side_left,low_light,close,goat|eye_discharge|possible_lameness,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0024,train,goat_0024.jpg,healthy,side_left,low_light,far,goat,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0025,train,goat_0025.jpg,healthy,rear,low_light,far,goat,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0026,train,goat_0026.jpg,healthy,front,good,far,goat,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0027,train,goat_0027.jpg,possible_lameness,side_right,outdoor,close,goat|possible_lameness,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0028,train,goat_0028.jpg,healthy,side_left,low_light,close,goat,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0029,train,goat_0029.jpg,multiple_visible_signs,side_right,indoor,far,goat|eye_discharge|skin_lesion,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0030,train,goat_0030.jpg,possible_lameness,side_left,indoor,medium,goat|possible_lameness,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0031,train,goat_0031.jpg,abnormal_posture,front,outdoor,medium,goat|abnormal_posture,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0032,train,goat_0032.jpg,healthy,side_right,outdoor,close,goat,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0033,train,goat_0033.jpg,healthy,front,good,far,goat,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0034,train,goat_0034.jpg,eye_discharge,front,indoor,close,goat|eye_discharge,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0035,train,goat_0035.jpg,skin_lesion,side_left,outdoor,far,goat|skin_lesion,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0036,train,goat_0036.jpg,possible_lameness,rear,indoor,far,goat|possible_lameness,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0037,train,goat_0037.jpg,abnormal_posture,side_left,outdoor,medium,goat|abnormal_posture,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0038,train,goat_0038.jpg,multiple_visible_signs,side_right,low_light,far,goat|abnormal_posture|eye_discharge,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0039,train,goat_0039.jpg,healthy,front,outdoor,close,goat,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0040,train,goat_0040.jpg,nasal_discharge,side_left,indoor,close,goat|nasal_discharge,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0041,train,goat_0041.jpg,healthy,front,indoor,close,goat,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0042,train,goat_0042.jpg,possible_lameness,side_right,good,far,goat|possible_lameness,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0043,train,goat_0043.jpg,healthy,rear,indoor,far,goat,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0044,train,goat_0044.jpg,healthy,rear,indoor,medium,goat,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0045,train,goat_0045.jpg,abnormal_posture,side_left,good,close,goat|abnormal_posture,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0046,train,goat_0046.jpg,skin_lesion,side_right,low_light,medium,goat|skin_lesion,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0047,train,goat_0047.jpg,eye_discharge,front,good,close,goat|eye_discharge,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0048,train,goat_0048.jpg,eye_discharge,side_right,good,close,goat|eye_discharge,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0049,train,goat_0049.jpg,healthy,rear,indoor,medium,goat,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0050,train,goat_0050.jpg,healthy,rear,indoor,close,goat,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0051,train,goat_0051.jpg,eye_discharge,front,good,far,goat|eye_discharge,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0052,train,goat_0052.jpg,multiple_visible_signs,front,good,close,goat|nasal_discharge|abnormal_posture,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0053,train,goat_0053.jpg,eye_discharge,side_left,low_light,close,goat|eye_discharge,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0054,train,goat_0054.jpg,healthy,front,low_light,medium,goat,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0055,train,goat_0055.jpg,possible_lameness,rear,outdoor,medium,goat|possible_lameness,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0056,train,goat_0056.jpg,skin_lesion,rear,indoor,close,goat|skin_lesion,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0057,train,goat_0057.jpg,healthy,front,good,far,goat,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0058,train,goat_0058.jpg,healthy,front,low_light,far,goat,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0059,train,goat_0059.jpg,possible_lameness,side_left,good,far,goat|possible_lameness,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0060,train,goat_0060.jpg,healthy,side_left,good,far,goat,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
goat_0061,train,goat_0061.jpg,healthy,side_left,low_light,close,goat,NEEDS_REAL_IMAGE_ANNOTATION,placeholder_manifest,NOT_A_DIAGNOSIS
